Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2021-10-29T13:31:00Z,SPY,432.0147236,36,Market,Filled,15552.5300496,"" 
2021-11-05T13:31:00Z,SPY,440.11170055,-36,Market,Filled,-15844.0212198,"Liquidated" 
2021-11-05T13:31:00Z,GLD,167.65,-93,Market,Filled,-15591.45,"Liquidated" 
2021-11-05T13:31:00Z,GLD,167.65,94,Market,Filled,15759.1,"" 
2021-11-05T13:31:00Z,SPY,440.11170055,36,Market,Filled,15844.0212198,"" 
2021-11-12T14:31:00Z,SPY,437.15192085,-36,Market,Filled,-15737.4691506,"Liquidated" 
2021-11-12T14:31:00Z,GLD,174.12,-94,Market,Filled,-16367.28,"Liquidated" 
2021-11-12T14:31:00Z,SPY,437.15192085,36,Market,Filled,15737.4691506,"" 
2021-11-12T14:31:00Z,QQQ,380.376423031,35,Market,Filled,13313.174806085,"" 
2021-11-19T14:31:00Z,SPY,442.76984665,-36,Market,Filled,-15939.7144794,"Liquidated" 
2021-11-19T14:31:00Z,QQQ,391.244599075,-35,Market,Filled,-13693.560967625,"Liquidated" 
2021-11-19T14:31:00Z,SPY,442.76984665,37,Market,Filled,16382.48432605,"" 
2021-11-19T14:31:00Z,GLD,173.94,94,Market,Filled,16350.36,"" 
2021-11-29T14:31:00Z,SPY,432.62741685,-37,Market,Filled,-16007.21442345,"Liquidated" 
2021-11-29T14:31:00Z,GLD,166.85,-94,Market,Filled,-15683.9,"Liquidated" 
2021-11-29T14:31:00Z,QQQ,380.97047208,25,Market,Filled,9524.261802,"" 
2021-11-29T14:31:00Z,SPY,432.62741685,23,Market,Filled,9950.43058755,"" 
2021-12-06T14:31:00Z,SPY,427.3959591,-23,Market,Filled,-9830.1070593,"Liquidated" 
2021-12-06T14:31:00Z,QQQ,373.111495317,-25,Market,Filled,-9327.787382925,"Liquidated" 
